,label,tweet,gender,katakunci,pasal,status,kronologis,agama
1442,sadness,baca pesan di whatsapp kemudian berpikir   aku tu kadang suka terlalu baik sama orang  tapi lalu aku sadar  tidak kadang si  emang selalu  maklum  angelic ,Perempuan,pelacur,Pencemaran,Putusan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
1443,sadness,apa mereka enggak pernah ingat kalau nanya kabar itu juga penting  ah atau saya saja yang sedang kesepian  itu semua normal tidak ada yang salah dengan kondisi seperti itu ,Perempuan,pelacur,Pasal 315 KUHP,lidik,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen
1444,sadness,dulu ada orang yang membawa segudang kata ajaib dan itu bisa menenangkan saya  bahkan merubah mindset saya waktu itu  mungkin saya sekarang membutuhkan orang seperti itu  orang yang membawa berpikul pikuk cerita dan tidak sabar ingin diceritakan ,Laki-laki,Kodok betina,KUHP Pasal 310,Restorative Justice,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen Protestan
1445,sadness,pidato pidato presiden retak  tertusuk tusuk dusta  teriak teriak tertambat sunyi letih mengarungmurat  sengsara rakyat berdayung lapar di deras  arus air mata  x,Perempuan,Kodok betina,Pasal 315 KUHP,Restorative Justice,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
1446,happy,   wuish    saya tungguin nih film nya    bikin film superhero terus kirim ke negara tetangga lagi  biar film indonesia jadi trend ,Perempuan,"bom, tidak tahu diri",pengancaman,Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen Protestan
1447,happy,jadi yes  mengatur kesiapan yu yu buat punya anak bukan cuma dari mental  tapi juga kesiapan finansial  harus imbang men  aing sih percaya  tanaman yang dari awal dirawat dengan baik beda kualitas sama yang dibiarin idup gitu saja ,Laki-laki,"selingkuh, lobang kubur",Pencemaran nama baik,lidik,PENCEMARAN NAMA BAIK,Kristen Protestan
1448,anger,      mustinya di biarin saja itu bom  pas kamu tidur lagi rapat saja meledaknya  jadi kan tidak kerasa ya bro  tau udah di alam laen  amp,Perempuan,"Cina, anus, toilet, jamban, tai","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",dihentikan karena restorative jaustice,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen Protestan
1449,happy,   last but not least  harus selalu bersyukur  amp,Perempuan,penipu,Pencemaran,Restorative Justice,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
1450,anger,   tolong kepada petugas    dan atau polisi di jalan tol cipularang kamu  arah jakarta  malam ini ada yang melempari kendaraan pake batu besar  saya salah satu korbannya mohon diamankan  ,Laki-laki,"fuck, fucking bitch, fat bitch",UU ITE 27 Ayat 3,vonis 2 tahun,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Islam
1451,fear,saya pun sedang belajar untuk menjadi kuat  memang tidak mudah sekali  apalagi kedua hal itu  halangan amp,Laki-laki,"peselingkuh gatel, bangsat, asu",UU ITE 27 Ayat 3,Naik kejaksaan,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen Protestan
1452,happy,yha bener bih kata ko ernest  aku tiap bulan nabung min banget harus jt  buat kulyah cyn berat sih awalnya tapi lama terbiasa  oh ya sama gaya hidup juga ngaruh nih  untungnya aku tidak suka nongki haha,Laki-laki,"babi, biongo",Pencemaran,Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen
1453,anger,   whatsapp aku kan sudah terang terangan kamu blokir  setelah aku mempergoki kamu secara tidak sengaja bahwasanya kamu kerja di informa ace hardware tapi   malamnya aku akan sapa kamu  tapi sudah keburu kamu blokir  padahal seminggu sebelumnya ak,Perempuan,penipu,Pencemaran nama baik,dihentikan karena restorative jaustice,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen Protestan
1454,happy,haha serius sih pertama lihat itu tulisan tukang kedai mie tiaw tsb  langsung ngakak  macam selingkuhan  disayang tapi tidak diakui eeaaaa haha tapi gimanapun gitu juga  persaingan mereka sehat sih hehe,Laki-laki,"babi, muslim, fuck",Pencemaran nama baik,Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen Protestan
1455,fear,aku tidak salah bila mohon pada     segera perintahkan menkes untuk menambah ruangan khusus  sakit jiwa  pada stiap rmh sakit  sebab  tidak menutup kemungkinan  usai pilpres  stiap rmh sakit akan dibanjiri pasien  sakit jiwa   tanda kearah sana itu sudah ada  saat ini banyak yang stress,Laki-laki,"fuck, fucking bitch, fat bitch",Pencemaran,dihentikan karena restorative jaustice,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
1456,happy,ada untungnya punya adik tuli  bisa ngobrol bahasa isyarat sama driver grab yang barusan  mungkin kalau kadang njenengan order grab di sekitaran gor unya mungkin bisa ketemu beliau  kocak orangnya sih  kalau kalian ngerti ,Laki-laki,"peselingkuh gatel, bangsat, asu",Pencemaran,Restorative Justice,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen
1457,love, kamu mencintai istri  bukan berarti kamu tidak cinta pada anak  begitupun sebaliknya    karena cinta itu rasa  dan rasa  akan semakin tajam jika sering dilatih  supaya ia terdidik dan semakin sensitif dengan perubahan meski sedikit  ,Perempuan,"Cina, anus, toilet, jamban, tai",Pencemaran nama baik,dihentikan karena restorative jaustice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Islam
1458,happy,gurindam  karya raja ali haji  sudah saya baca dari sd  jadi bacaan saat belajar arab melayu  ini fenomenal  serius harus coba baca seluruhnya    ,Perempuan,penipu,pengancaman,vonis 2 tahun,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen
1459,anger, yang mau turun gunung   jawab dulu nih    diem diem bae,Perempuan,"peselingkuh gatel, bangsat, asu",UU ITE 27 Ayat 3,Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen
1460,fear,aku tidak salah bila mohon pada     segera perintahkan menkes untuk menambah ruangan khusus  sakit jiwa  pada stiap rmh sakit  sebab  tidak menutup kemungkinan  usai pilpres  stiap rmh sakit akan dibanjiri pasien  sakit jiwa   tanda kearah sana itu sudah ada  saat ini banyak yang stress   ,Perempuan,penipu,Pencemaran,Penyelidikan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Islam
1461,fear,   aku tidak salah bila mohon pada     segera perintahkan menkes untuk menambah ruangan khusus  sakit jiwa  pada stiap rmh sakit  sebab  tidak menutup kemungkinan  usai pilpres  stiap rmh sakit akan dibanjiri pasien  sakit jiwa   tanda kearah sana,Laki-laki,"babi, biongo",KUHP Pasal 310,Restorative Justice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen Protestan
1462,happy,selamat ulang tahun  bosque  sepurane telat  semoga sehat selalu  dilancarkan karir   jodohnya,Perempuan,"babi, muslim, fuck",KUHP Pasal 310,vonis 2 tahun,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
1463,happy,mereka bergurau canda aku tepar terus pulang naik gojek sampai rmh pantat aku tepos jauhnya bks ujung ke ujung  but  aku bersyukurmasih bisa ngumpul sama teman  banyak pelajaran hari ini    bersyukur   harus teliti jangan terburu    istirahat yang cukup,Laki-laki,pelacur,pengancaman,Putusan,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen
1464,fear,aku tidak salah bila mohon pada     segera perintahkan menkes untuk menambah ruangan khusus  sakit jiwa  pada stiap rmh sakit  sebab  tidak menutup kemungkinan  usai pilpres  stiap rmh sakit akan dibanjiri pasien  sakit jiwa   tanda kearah sana itu sudah ada  saat ini banyak yang stress   ,Perempuan,"bom, tidak tahu diri",Pasal 315 KUHP,Naik kejaksaan,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Kristen
1465,fear,   aku tidak salah bila mohon pada     segera perintahkan menkes untuk menambah ruangan khusus  sakit jiwa  pada stiap rmh sakit  sebab  tidak menutup kemungkinan  usai pilpres  stiap rmh sakit akan dibanjiri pasien  sakit jiwa   tanda kearah sana it,Laki-laki,"fuck, fucking bitch, fat bitch",UU ITE 27 Ayat 3,Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
1466,happy,terlepas dari pengalaman yang kurang mengasyikan di stadion  kami harus berterima kasih yang sebesar besarnya kepada warga bantul  amp,Perempuan,"pembohong, pendusta",KUHP Pasal 310,lidik,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen
1467,fear,   aku tidak salah bila mohon pada     segera perintahkan menkes untuk menambah ruangan khusus  sakit jiwa  pada stiap rmh sakit  sebab  tidak menutup kemungkinan  usai pilpres  stiap rmh sakit akan dibanjiri pasien  sakit jiwa   tanda kearah sa,Perempuan,"babi, biongo","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",lidik,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Islam
1468,happy,   kalau makan siang di warteg blkng kntr  andalan aku makan di situadalahpaket rb haha smp bu haji nya tau kalau stiap mau bayar dia bilang  biasa rb      kalau makan mah yang penting kenyang  untungnya aku bukan tipe orang yang suka nongki  dan kalau mau beli a,Perempuan,"peselingkuh gatel, bangsat, asu",UU ITE 27 Ayat 3,dihentikan karena restorative jaustice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen
1469,anger,klo pemerintah atau mungsuh pemerintah teliti  mereka bisa periksa apa harapan mansyarakat sekarang ini karena ini dilontarkan secara eksplisit dan terbuka  yaitu harapan pada te ha er    ,Perempuan,Kodok betina,Pencemaran nama baik,Putusan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen Protestan
1470,anger,   kartosoewiryo itu seorang taat beragama dan mau bunuh soekarno  yang bunuh sayyidina ali ketika solat subuh itu seorang hafidz quran dan ahli fiqih  ibnu muljam  sampai disini sudah jelas belum  bro ,Laki-laki,"babi, biongo",KUHP Pasal 310,lidik,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
1471,anger,                           harus nya di tanya pernyataan sandi itu atas nama pemprove dki atau kapasitasnya sebagai anggota dewan pembina gerindra  ,Perempuan,Kodok betina,KUHP Pasal 310,lidik,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Islam
1472,happy,      oh iya bisa tuh tapi mesti bikin mold bentuk panda dulu hahahaha  aku pngn nya bikin marble soap nis kyk gini   ,Laki-laki,"bom, tidak tahu diri",Pencemaran nama baik,dihentikan karena restorative jaustice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen Protestan
1473,sadness,saya lebih memilih sadar diri dan berpikir kembali ketimbang menyalahkan dirinya  sekedar tau bahwa saya terlalu lama duduk dan menikmati obrolan itu sampai lupa bahwa ada pintu yang menunggu saya untuk lewati kembali setelah datang untuk bertamu ,Perempuan,"peselingkuh gatel, bangsat, asu",pengancaman,Penyelidikan,PENCEMARAN NAMA BAIK,Kristen
1474,anger,wah ini    siapapun presidennya kalau membiarkan kelompok pembangkang pancasila dan nkri hidup di republik ini akan kami lawan                ,Perempuan,"Cina, anus, toilet, jamban, tai",pengancaman,lidik,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
1475,happy,waah tidak kerasa sudah tahun ke  ya guys  tetap jadi btsnya army ya makasih sudah mengisi hari hari ku selama  tahun ini dari yang jk masih dedek sampai lulus sma sampai jadi hot jk haha terima kasih buat lagu lagunya yang menginspirasi        ,Laki-laki,"Cina, anus, toilet, jamban, tai",KUHP Pasal 310,Restorative Justice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Islam
1476,anger,kan aku udah putusin tidak mau dikatain mau nyumpahin dia mati mau minta rebutan warisan lah tidak lah aku juga tetep anak ce tau diri kog harus ikut suami aku yang akan ajak aku menetap di negara impian aku kanada   pasti tercapai kog tenang saja sabar jiwaku,Perempuan,penipu,Pencemaran nama baik,dihentikan karena restorative jaustice,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Kristen Protestan
1477,anger,liat saja yah mulai now fokus cari duda mapan dewasa ajak nikah di sini dan aku cuma minta nyokap aku beresin dan kasih hak aku sebagai anak kandungnya rata minta dipestain tapi tidak mewah kog biasa saja langsung aku ikut suami aku stay di negaranya soon harus tercapai,Laki-laki,"fuck, fucking bitch, fat bitch",UU ITE 27 Ayat 3,lidik,PENCEMARAN NAMA BAIK,Islam
1478,fear,siapapun besok tolong ingetin aa tommy yah selasa  juni  jam   tolong sms telp wa takut aa nya ketinggalan info dari travelo deg deg an nihh semoga dapet nonton piala dunia langsung  tidak bakal bisa tidur nyenyak malam ini   nunggu pengumuman besok ,Laki-laki,penipu,"Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Restorative Justice,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
1479,happy,mau ngucapin happy birthday yang ke  buat nursehah     semoga berkah umur  murah rezeki  sehat selalu  makin rajin ibadahnya  amp,Perempuan,"peselingkuh gatel, bangsat, asu","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",vonis 2 tahun,PENCEMARAN NAMA BAIK,Kristen
1480,anger,tokoh dan capres abadi dan orang yang gagal di masa lalunya berarti orang itu paling di benci allah itu hanya prabocor karena otaknya juga bocor bocor bocor pengikutnya ap lagi otaknya moter         ,Perempuan,"bom, tidak tahu diri",Pasal 315 KUHP,Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
1481,anger,orang yang gagal di masa lalunya berarti orang itu paling di benci allah itu hanya prabocor karena otaknya juga bocor bocor bocor pengikutnya ap lagi otaknya moter         ,Perempuan,"babi, muslim, fuck",Pencemaran,Putusan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Islam
1482,happy,dan twitter pun menjadi pelarian dari sosmed lain karena curhat di sosmed lain tidak sebebas curhat di sini                    termasuk saya ahahahahahhaha,Laki-laki,"peselingkuh gatel, bangsat, asu",Pencemaran nama baik,Penyelidikan,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
1483,happy,mau ngucapin happy birthday yang ke  buat de  nursehah  smoga berkah umur  amp,Laki-laki,"peselingkuh gatel, bangsat, asu",Pencemaran,dihentikan karena restorative jaustice,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen Protestan
1484,happy,yah pingin kyk si laudya dapat duda baik punya anak  ce   dudanya baik sayang sama aku gitu deh fokus aku sekarang  fight saja dan tetep semangat karena aku udah putuskan mau menetap sampai tua dan death disana,Perempuan,"pembohong, pendusta",pengancaman,Penyelidikan,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen
1485,happy,    hadir min  salam aku di segmen salsa icikiwir minta to long bacain ya          trimakasih ,Laki-laki,"Cina, anus, toilet, jamban, tai",Pencemaran nama baik,dihentikan karena restorative jaustice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen
1486,sadness,pak wagub saya beda politik dengan anda  tapi setelah anda di bully masalah tong sampah jerman saya prihatin  coba hub mas    nanti saya presentasikan tentang penanganan sampah scra integreted dan murah konsepnya sudah saya berikan pramono anung   ,Perempuan,penipu,"Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Naik kejaksaan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen Protestan
1487,happy,tetap semangat walau punkada rencana kita tidak sepenuhnya berjalan lancar  tapi tetap yakin tuhan selalu bersama kita dalam setia langkah kita menuju keberhasilan    ,Perempuan,Kodok betina,UU ITE 27 Ayat 3,Restorative Justice,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen
1488,happy,saya hanyalah ciptaan tuhan  bukan superhero apalagai malaikat  saya hanya bisa melalukan apa yang saya lakukan  itulah saya  anak nomor tiga yang murah hati  dan saya mohon  semoga anda cepat tau,Perempuan,"bom, tidak tahu diri",Pencemaran nama baik,Naik kejaksaan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
1489,happy,malam ini ceritanya masih berbagi cerita dengan kawan lama semasa sma banyak sekali hal yang dibahas mulai absurb  serius sampai percintaan  serasa masih sma padahal udah pada kerja tapi katanya umur boleh tua jiwa jangan njay,Perempuan,Kodok betina,Pasal 315 KUHP,vonis 2 tahun,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
1490,sadness,beli kaos banyak dengan ukuran yang udah downgrade  kucariin kok ngga ada ternyata masuk ke lemari bapak  mbak art ku kayaknya tidak notice aku udah kurusan ,Perempuan,penipu,"Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",vonis 2 tahun,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
1491,happy,      makan kerupuk jangan berisik pake celana jangan pas tidur mata ngantuk tapi tetep asik soale ada  di ini sahur       ,Perempuan,Kodok betina,Pencemaran,Putusan,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Kristen Protestan
1492,happy,      kirim salam buat  pergi berlibur membeli celana  kuping sakit karena berisik  lihat ini sahur ada brianna  walaupun kepala pusing jadi tetep asik  ,Laki-laki,"fuck, fucking bitch, fat bitch",Pasal 315 KUHP,Putusan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen
1493,happy,gilak  tidak saja begini  rakan dkk diborong  mungkin kalau masuk  momon  zeratu pun ngikut kali  triple pula aaaaak  droolin   ,Laki-laki,"selingkuh, lobang kubur",Pencemaran,dihentikan karena restorative jaustice,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen
1494,happy,      kalau kita punya tiket tiket apa yang paling bisa buat orang bahagia     tiket ketemu        ,Perempuan,pelacur,Pencemaran,Putusan,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Islam
1495,happy, ketika bocah memori mb itu sangat berharga  dan nyimpeninnya savean gta  god of war  mortal kombat dan kawan kawan   ,Laki-laki,"pembohong, pendusta",Pencemaran nama baik,Putusan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen Protestan
1496,happy,masih ingat  citra  kala itu   tempat ldrnya mahasiswa atau sekedar tempat berlabuhnya di tanggal tua minta transfer sama ortu   wartel  itu tepat dipinggir jatos hari ini  tidak sekedar tempat kumpul padahal dulu tidak ber wifi atau mungkin di atasnya ada kostan mahasiswi ,Laki-laki,Kodok betina,UU ITE 27 Ayat 3,Restorative Justice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen Protestan
1497,anger,saya lihat bukan dari sisi agama meskipun saya muslim kalau salah ya salah dan mindset saya sama rata semua agama itu  tapi ini dalam sisi kemanusiaan yang tidak ada rasa kemanusiaan  laknat dan tolol,Laki-laki,Kodok betina,"Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen
1498,sadness,   selalu seperti itu ri siklus nya  sesering apapun kita pernah  bersama  dengan orang lain  selalu sulit untuk memulai dengan yang baru ,Laki-laki,"peselingkuh gatel, bangsat, asu",KUHP Pasal 310,Penyelidikan,PENCEMARAN NAMA BAIK,Kristen
